Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
1998,1,ABDASA,GEN,IBRAHIM ISHAQ MANDHRA,M,INC,65.25
1998,45,AMRELI,GEN,RUPALA PARSHOTAMBHAI KHODABHAI,M,BJP,57.96
1998,133,ANAND,GEN,PATEL DILIPBHAI MANIBHAI,M,BJP,60.93
1998,5,ANJAR,GEN,AHIR VASANBHAI GOPALBHAI,M,BJP,49.05
1998,157,ANKLESHWAR,GEN,PATEL JAYANTIBHAI ZINABHAI,M,BJP,59.31
1998,72,ASARWA,GEN,PATEL AMRISHKUMAR GOVINDLAL,M,BJP,51.3
1998,43,BABRA,GEN,UNDHAD BAVKUBHAI NATHABHAI,M,BJP,63.47
1998,124,BALASINOR,GEN,CHAUHAN MANSHINH KOHYABHAI,M,AIRJP,60.58
1998,166,BARDOLI,ST,RAJWADI RAJNIKANT PRABHUBHAI,M,BJP,62.09
1998,147,BARODA CITY,GEN,LAKHAWALA BHUPENDRA GATULAL,M,BJP,52.72
1998,151,BARODA RURAL,GEN,CHUDASAMA DILUBHA TEMUBHA,M,BJP,55.11
1998,61,BAVLA,SC,MAKWANA GUNVANTBHAI N.,M,INC,56.56
1998,109,BAYAD,GEN,DR. PATEL MAHENDRABHAI SOMABHAI,M,BJP,74.08
1998,139,BHADRAN,GEN,PARMAR DHIRSINH CHHATRASINH,M,INC,61.96
1998,29,BHANVAD,GEN,BERA MURUBHAI HARADAS,M,BJP,56.75
1998,57,BHAVNAGAR NORTH,GEN,MAHENDRA TRIVEDI,M,BJP,51.73
1998,58,BHAVNAGAR SOUTH,GEN,OZA SUNIL BALKRISHNABHAI (SUNIL OZA),M,BJP,53.19
1998,105,BHILODA,GEN,UPENDRA TRIVEDI,M,IND,62.27
1998,3,BHUJ,GEN,ZAVERI MUKESH BABULAL,M,BJP,58.04
1998,138,BORSAD,GEN,SOLANKI BHARATBHAI MADHAVSINH,M,INC,61.6
1998,49,BOTAD,GEN,SAURABH PATEL,M,BJP,63.36
1998,156,BROACH,GEN,BIPINBHAI ISHWARLAL SHAH,M,BJP,57.26
1998,178,BULSAR,GEN,DESAI DOLATRAI NATHUBHAI,M,BJP,54.13
1998,140,CAMBAY,GEN,SHUKAL SHIRISKUMAR MADHUSUDAN,M,BJP,60
