S. N.,Item,2011-12,2012-13,2013-14,2014-15
1.,"Agriculture, forestry and fishing",10736422.92,9917137.786,13040117.09,13540659.82
1.1,Crops,7950971.631,6767738.224,9556409.368,9441732.456
1.2,Livestock,1850549.324,2011438.803,2316038.214,2698910.067
1.3,Forestry and logging,611317.9678,770344.7593,715170.5073,761660.2959
1.4,Fishing and aquaculture,323584,367616,452499,638357
2.       ,Mining and quarrying,1850611,2315728,2026283,2117218
Primary,Primary,12587033.92,12232865.79,15066400.09,15657877.82
3.       ,Manufacturing,15681930.7,20692579.02,21997751.94,24408361
4.       ,"Electricity, gas, water supply & other utility services",2190546,2679262,2890694,3409983
5.       ,Construction,4469266.793,4702959.2,5352370.293,5526016.688
Secondary,Secondary,22341743.5,28074800.22,30240816.24,33344360.69
6.       ,"Trade, repair, hotels and restaurants",6646396.141,8457460.859,8991795.993,10742184.89
6.1,Trade & repair services,6646396.141,8457460.859,8991795.993,10742184.89
6.2,Hotels & restaurants,NA,NA,NA,NA
7.       ,"Transport, storage, communication & services related to broadcasting",3253229.734,3715273.829,4015345.023,4520754.23
7.1,Railways,328792,363157,384751,511593
7.2,Road transport,NA,NA,NA,NA
7.3,Water transport,NA,NA,NA,NA
7.4,Air transport,NA,NA,NA,NA
7.5,Services incidental to transport,2126306.066,2434818.784,2485293.816,2709007.261
7.6,Storage,36202.20292,40557.02095,46041.8337,57634.17355
7.7,Communication & services related to broadcasting,761929.4652,876741.0234,1099258.373,1242519.795
8.       ,Financial services,2942743,3461652,4116751,4606644
9.       ,"Real estate, ownership of dwelling & professional services",3481417,3969395,4564674.391,5179501.67
10.   ,Public administration,1917275.933,2184966,2373071,2543285
11.   ,Other services,2022268,2419178,2739442,3194855
Tertiary  ,Tertiary  ,20263329.81,24207925.69,26801079.41,30787224.79
12.,TOTAL GSVA at basic prices,55192107.23,64515591.69,72108295.73,79789463.3
13.,Taxes on Products,7700384,9515745,10380816,11784754
14.,Subsidies on products,1331884,1581757.841,1726792,1981546
15.,Gross State Domestic Product,61560607.23,72449578.85,80762319.73,89592671.3
16.,Population (In Million),609060,617130,625300,633590
17.,Per Capita GSDP (`),101074.7828,117397.5967,129157.7159,141404.8064
