,Year,AC_No,AC_Name,AC_Type,Cand1,Sex1,Party1,Turnout
9347,1998,1,ABDASA,GEN,IBRAHIM ISHAQ MANDHRA,M,INC,65.25
9352,1998,2,MANDVI,GEN,MEHTA SURESHCHANDRA RUPSHANKAR,M,BJP,60.42
9356,1998,3,BHUJ,GEN,ZAVERI MUKESH BABULAL,M,BJP,58.04
9362,1998,4,MUNDRA,SC,SODHAM PARBAT MAYABHAI,M,BJP,54.1
9374,1998,5,ANJAR,GEN,AHIR VASANBHAI GOPALBHAI,M,BJP,49.05
9378,1998,6,RAPAR,GEN,DHIRUBHAI SWARUPCHAND SHAH,M,BJP,51.37
9385,1998,7,DASADA,SC,FAKIRBHAI RAGHABHAI VAGHELA,M,BJP,56.85
9391,1998,8,WADHWAN,GEN,DHANRAJBHAI KELA,M,BJP,52.86
9393,1998,9,LIMBDI,GEN,RANA KIRITSINH JITUBHA,M,BJP,60.54
9401,1998,10,CHOTILA,GEN,SAVASHIBHAI KANJIBHAI MAKWANA,M,INC,52.91
9413,1998,11,HALVAD,GEN,KAVADIA JAYANTILAL RAMJIBHAI,M,BJP,64.17
9416,1998,12,DHRANGADHRA,GEN,INDRAVIJAYSINH (I.K.) JADEJA,M,BJP,60.18
9426,1998,13,MORVI,GEN,AMRUTIYA KANTILAL SHIVABHAI,M,BJP,57.07
9432,1998,14,TANKARA,GEN,KUNDARIYA MOHANBHAI KALYANJIBHAI,M,BJP,63.41
9435,1998,15,WANKANER,GEN,KHURSHID HAIDAR ABDUL MUTTLIB PIRZADA (MEER,M,INC,64.82
9446,1998,16,JASDAN,GEN,KUNVARJIBHAI MOHANBHAI BAVALIYA,M,INC,57.67
9454,1998,17,RAJKOT-I,GEN,RAMESH DHANJIBHAI RUPAPARA,M,BJP,46.27
9458,1998,18,RAJKOT-II,GEN,VALA VAJUBHAI ROODABHAI,M,BJP,45.28
9463,1998,19,RAJKOT RURAL,SC,BABARIYA MADHUBHAI HAMIRBHAI,M,BJP,44.32
9467,1998,20,GONDAL,GEN,JADEJA JAYRAJSINH TEMUBHA,M,BJP,55.07
9470,1998,21,JETPUR,GEN,KORAT SAVJIBHAI JIVRAJBHAI,M,BJP,45.52
9476,1998,22,DHORAJI,GEN,RADADIA VITHALBHAI HANSRAJBHAI,M,AIRJP,60.85
9481,1998,23,UPLETA,GEN,MAKADIA PRAVINBHAI MOHAN,M,BJP,53.43
9488,1998,24,JODIYA,GEN,KASUNDRA MAGANBHAI AMBABHAI,M,BJP,61.56
9493,1998,25,JAMNAGAR,GEN,KHATTAR PARMANAND VISHANDAS (PARMAAND,M,BJP,42.87
9503,1998,26,JAMNAGAR RURAL,SC,ZALA MANHARBHAI VALJI,M,BJP,36.81
9510,1998,27,KALAWAD,GEN,FALDU RANCHHOD CHANABHAI (R.C.FALDU),M,BJP,53.15
9515,1998,28,JAMJODHPUR,GEN,SAPARIYA CHIMANLAL DHARAMSHIBHAI,M,BJP,58.62
9520,1998,29,BHANVAD,GEN,BERA MURUBHAI HARADAS,M,BJP,56.75
9530,1998,30,KHAMBHALIA,GEN,CHAVDA KARU NARAN,M,BJP,52.89
9546,1998,31,DWARKA,GEN,MANEK PABUBHA VIRAMBHA,M,IND,58
9554,1998,32,PORBANDAR,GEN,BOKHIRIYA BABUBHAI BHIMABHAI,M,BJP,53.47
9566,1998,33,KUTIYANA,GEN,ODEDARA KARSHAN DULA,M,BJP,42.05
9573,1998,34,MANGROL,GEN,KARGATIA BHAGVANJI LAKHABHAI,M,BJP,52.98
9578,1998,35,MANAVADAR,GEN,SUREJA RATILAL GORDHANBHAI,M,BJP,62.38
9586,1998,36,KESHOD,SC,RATHOD SAMATBHAI AALABHAI,M,BJP,49.03
9592,1998,37,TALALA,GEN,BARAD JASHUBHAI DHANABHAI,M,INC,70.13
9595,1998,38,SOMNATH,GEN,GOHEL CHUNILAL KANJI,M,BJP,61.1
9599,1998,39,UNA,GEN,VANSH PUNJABHAI BHIMABHAI,M,INC,56.52
9605,1998,40,VISAVADAR,GEN,PATEL KESHUBHAI SAVDAS,M,BJP,56.54
9610,1998,41,MALIYA,GEN,SOLANKI DEVANANDBHAI SAMATBHAI,M,BJP,59.27
9615,1998,42,JUNAGADH,GEN,MASHARU MAHENDRABHAI LILADHAR,M,BJP,40.9
9620,1998,43,BABRA,GEN,UNDHAD BAVKUBHAI NATHABHAI,M,BJP,63.47
9625,1998,44,LATHI,GEN,BHADANI BECHARBHAI VIRJIBHAI,M,BJP,62.28
9632,1998,45,AMRELI,GEN,RUPALA PARSHOTAMBHAI KHODABHAI,M,BJP,57.96
9636,1998,46,DHARI,GEN,BALUBHAI TANTI,M,BJP,57.02
9644,1998,47,KODINAR,GEN,SOLANKI DINUBHAI BOGHABHAI,M,BJP,62.77
9651,1998,48,RAJULA,GEN,SOLANKI HIRABHAI ODHAVAJIBHAI,M,BJP,59.3
9657,1998,49,BOTAD,GEN,SAURABH PATEL,M,BJP,63.36
9667,1998,50,GADHADA,SC,ATMARAM MAKANBHAI PARMAR,M,BJP,54.26
9672,1998,51,PALITANA,GEN,GOTI KURJIBHAI RAMJIBHAI,M,BJP,59.21
9681,1998,52,SIHOR,GEN,KESHUBHAI HIRJIBHAI NAKARANI,M,BJP,62.15
9687,1998,53,KUNDLA,GEN,VIRANI KALUBHAI VIRJIBHAI,M,BJP,49.61
9693,1998,54,MAHUVA,GEN,DR.KANUBHAI KALASARIA,M,BJP,52.45
9700,1998,55,TALAJA,GEN,GOHIL SHEEVABHAI JERAMBHAI (SHEEVABHAI GOHIL),M,BJP,48.19
9706,1998,56,GHOGHO,GEN,PARSHOTAMBHAI ODHAVJIBHAI SOLANKI,M,BJP,63.6
9710,1998,57,BHAVNAGAR NORTH,GEN,MAHENDRA TRIVEDI,M,BJP,51.73
9721,1998,58,BHAVNAGAR SOUTH,GEN,OZA SUNIL BALKRISHNABHAI (SUNIL OZA),M,BJP,53.19
9725,1998,59,DHANDHUKA,GEN,BHARAT PANDYA,M,BJP,53.59
