State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
Gujarat,1962,2,1,1,1,1,MADHAVSINHJI MOKAJI JADEJA,M,SWA,19699,NA,NA,35387,66532,ABDASA,GEN,NA,NA,3,53.19,55.67,no,16.4,RAJPUT,UPPER CASTE,HINDU,NA,NA,2.17,UPPER CASTE
Gujarat,1962,2,1,1,1,2,JUGATRAM DALPATRAM RAVAL,M,INC,13894,NA,NA,35387,66532,ABDASA,GEN,NA,NA,3,53.19,39.26,no,34.19,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,1,3,PRANLAL NANCHAND SHAH,M,NJP,1794,NA,NA,35387,66532,ABDASA,GEN,NA,NA,3,53.19,5.07,no,0,,,,NA,NA,2.17,
Gujarat,1962,2,1,1,2,1,GULABSHANKER AMRITLAL,M,SWA,24209,NA,NA,36123,66312,BHUJ,GEN,NA,NA,3,54.47,67.02,no,38.49,PATEL,UPPER CASTE,HINDU,NA,NA,1.89,UPPER CASTE
Gujarat,1962,2,1,1,2,2,KUNDANLAL JASHVANTRAY,M,INC,10306,NA,NA,36123,66312,BHUJ,GEN,NA,NA,3,54.47,28.53,no,24.08,,,,NA,NA,1.89,
Gujarat,1962,2,1,1,2,3,MOHANLAL LALJI,M,IND,1608,NA,NA,36123,66312,BHUJ,GEN,NA,NA,3,54.47,4.45,no,0,,,,NA,NA,1.89,
Gujarat,1962,2,1,1,3,1,MAHARAJ KUMARSHRI HIMTSINHJI VIJAYARAJJISAHEB,M,SWA,26796,NA,NA,39988,59442,MANDVI,GEN,NA,NA,2,67.27,67.01,no,34.02,VAISHYA,UPPER CASTE,HINDU,NA,NA,1.79,UPPER CASTE
Gujarat,1962,2,1,1,3,2,JUMAKHLAL LAKHMICHAND MEHTA,M,INC,13192,NA,NA,39988,59442,MANDVI,GEN,NA,NA,2,67.27,32.99,no,0,,,,NA,NA,1.79,
Gujarat,1962,2,1,1,4,1,MULJI PARSOTTAM,M,SWA,22317,NA,NA,43473,74539,ANJAR,GEN,NA,NA,4,58.32,51.34,no,17.13,VAISHYA,UPPER CASTE,HINDU,NA,NA,2.56,UPPER CASTE
Gujarat,1962,2,1,1,4,2,MAHIPAL MULSHANKAR MEHTA,M,INC,14871,NA,NA,43473,74539,ANJAR,GEN,NA,NA,4,58.32,34.21,no,23.4,,,,NA,NA,2.56,
Gujarat,1962,2,1,1,4,3,PRATAPRAY BACHOMAL,M,JS,4700,NA,NA,43473,74539,ANJAR,GEN,NA,NA,4,58.32,10.81,no,7.17,,,,NA,NA,2.56,
Gujarat,1962,2,1,1,4,4,TARAMATI PRANLAL SHAH,F,NJP,1585,NA,NA,43473,74539,ANJAR,GEN,NA,NA,4,58.32,3.65,no,0,,,,NA,NA,2.56,
