,State,Year,month,sa_no,DelimID,AC_No,Position,Cand1,Sex1,Party1,Votes1,Age,Cand_Type,Valid_Votes,Electors,AC_Name,AC_Type,District_Name,Sub_Region,N_Cand,Turnout,Vote_Sh,Deposit_Lost,Margin_Percent,Jati,Caste_Rec,Rel,New.Caste,Old_Jati,ENOP,Caste
9347,Gujarat,1998,2,9,3,1,1,IBRAHIM ISHAQ MANDHRA,M,INC,30619,,,70310,107757,ABDASA,GEN,,,5,65.25,43.55,no,1.21,OTHER MUSLIMS,MUSLIM UPPER CASTE,MUSLIM,,,2.63,MUSLIM UPPER CASTE
9352,Gujarat,1998,2,9,3,2,1,MEHTA SURESHCHANDRA RUPSHANKAR,M,BJP,33318,,,70578,116809,MANDVI,GEN,,,4,60.42,47.21,no,20.58,OTHER UPPER CASTE,UPPER CASTE,HINDU,,,2.78,UPPER CASTE
9356,Gujarat,1998,2,9,3,3,1,ZAVERI MUKESH BABULAL,M,BJP,47431,,,90650,156180,BHUJ,GEN,,,6,58.04,52.32,no,24.4,OTHER UPPER CASTE,UPPER CASTE,HINDU,,,2.63,UPPER CASTE
9362,Gujarat,1998,2,9,3,4,1,SODHAM PARBAT MAYABHAI,M,BJP,29792,,,60303,111469,MUNDRA,SC,,,5,54.1,49.4,no,13.85,OTHER SC,SC,HINDU,,,2.56,SC
9374,Gujarat,1998,2,9,3,5,1,AHIR VASANBHAI GOPALBHAI,M,BJP,48633,,,97696,199161,ANJAR,GEN,,,11,49.05,49.78,no,6.13,YADAV,OBC PP,HINDU,,,2.27,OBC PP
9378,Gujarat,1998,2,9,3,6,1,DHIRUBHAI SWARUPCHAND SHAH,M,BJP,29860,,,70096,136461,RAPAR,GEN,,,7,51.37,42.6,no,11.15,VAISHYA,UPPER CASTE,HINDU,,,3.03,UPPER CASTE
9385,Gujarat,1998,2,9,3,7,1,FAKIRBHAI RAGHABHAI VAGHELA,M,BJP,39632,,,71424,125643,DASADA,SC,,,4,56.85,55.49,no,32.41,OTHER SC,SC,HINDU,,,2.5,SC
9391,Gujarat,1998,2,9,3,8,1,DHANRAJBHAI KELA,M,BJP,46617,,,87657,165829,WADHWAN,GEN,,,4,52.86,53.18,no,20.77,OTHER UPPER CASTE,NOT ASCERTAINED,HINDU,,,2.44,NOT ASCERTAINED
9393,Gujarat,1998,2,9,3,9,1,RANA KIRITSINH JITUBHA,M,BJP,43223,,,86976,143671,LIMBDI,GEN,,,8,60.54,49.7,no,8.37,GUJJAR,UPPER CASTE,HINDU,,,2.38,UPPER CASTE
9401,Gujarat,1998,2,9,3,10,1,SAVASHIBHAI KANJIBHAI MAKWANA,M,INC,30480,,,71452,135041,CHOTILA,GEN,,,12,52.91,42.66,no,18.97,JATAV,SC,HINDU,,,3.03,SC
